16,1339,750,0
32,1339,750,0
47,1339,750,0
63,1339,750,0
79,1339,750,0
94,1339,750,0
110,1339,750,0
125,1339,750,0
141,1339,750,0
157,1339,750,0
172,1339,750,0
188,1339,750,0
204,1339,750,0
219,1339,750,0
235,1339,750,0
250,1339,750,0
266,1339,750,0
282,1339,750,0
297,1339,750,0
313,1339,750,0
329,1339,750,0
344,1339,750,0
360,1339,750,0
375,1339,750,0
391,1339,750,0
407,1339,750,0
422,1339,750,0
438,1339,750,0
454,1339,750,0
469,1339,750,0
485,1339,750,0
500,1339,750,0
516,1339,750,0
532,1339,750,0
547,1338,750,0
563,1337,750,0
579,1337,750,0
594,1337,750,0
610,1337,750,0
625,1337,750,0
641,1337,750,0
657,1337,750,0
672,1337,750,0
688,1337,750,0
704,1337,750,0
719,1337,750,0
735,1337,750,0
750,1337,750,0
766,1337,750,0
782,1337,750,0
797,1337,750,0
813,1337,750,0
829,1337,750,0
844,1337,750,0
860,1337,750,0
875,1337,750,1
891,1337,750,1
907,1337,750,1
922,1337,750,1
938,1337,750,1
954,1337,750,1
969,1337,750,1
985,1337,750,0
1000,1337,750,0
1016,1337,750,0
1032,1337,750,0
1047,1337,750,0
1063,1337,750,0
1079,1337,750,0
1094,1337,750,0
1110,1337,750,0
1125,1337,750,0
1141,1337,750,0
1157,1337,750,0
1172,1337,750,0
1188,1337,750,0
1204,1337,750,0
1219,1337,750,0
1235,1337,750,0
1250,1337,750,0
1266,1337,750,0
1282,1337,750,0
1297,1337,750,0
1313,1337,750,0
1329,1337,750,0
1344,1337,750,0
1360,1337,750,0
1375,1337,750,0
1391,1337,750,0
1407,1337,750,0
1422,1336,750,0
1438,1333,752,0
1454,1322,755,0
1469,1311,757,0
1485,1304,757,0
1500,1291,757,0
1516,1275,755,0
1532,1270,753,0
1547,1264,749,0
1563,1257,741,0
1579,1252,731,0
1594,1247,724,0
1610,1246,723,0
1625,1245,721,0
1641,1245,719,0
1657,1244,718,0
1672,1244,718,0
1688,1244,718,0
1704,1244,717,0
1719,1243,716,0
1735,1243,712,0
1750,1243,709,0
1766,1243,708,0
1782,1243,707,0
1797,1243,707,0
1813,1243,707,0
1829,1243,707,0
1844,1243,707,0
1860,1243,707,0
1875,1243,707,0
1891,1243,707,0
1907,1243,707,0
1922,1243,707,0
1938,1243,707,0
1954,1242,707,0
1969,1241,707,0
1985,1240,708,0
2000,1239,710,0
2016,1239,712,0
2032,1237,717,0
2047,1236,722,0
2063,1235,725,0
2079,1233,731,0
2094,1232,737,0
2110,1231,742,0
2125,1230,747,0
2141,1230,749,0
2157,1229,755,0
2172,1228,757,0
2188,1227,763,0
2204,1225,769,0
2219,1224,777,0
2235,1224,779,0
2250,1223,785,0
2266,1222,791,0
2282,1222,797,0
2297,1222,804,0
2313,1221,810,0
2329,1220,815,0
2344,1220,818,0
2360,1220,823,0
2375,1219,827,0
2391,1219,831,0
2407,1218,838,0
2422,1218,838,0
2438,1216,842,0
2454,1214,848,0
2469,1213,849,0
2485,1213,853,0
2500,1212,856,0
2516,1212,860,0
2532,1211,864,0
2547,1211,864,0
2563,1211,867,0
2579,1210,870,0
2594,1210,876,0
2610,1210,877,0
2625,1210,879,0
2641,1210,880,0
2657,1210,880,0
2672,1210,880,0
2688,1210,880,0
2704,1210,880,0
2719,1210,880,0
2735,1210,880,0
2750,1210,880,1
2766,1210,880,1
2782,1210,880,1
2797,1210,880,1
2813,1210,880,1
2829,1210,880,1
2844,1210,880,1
2860,1210,880,0
2875,1210,880,0
2891,1210,880,0
2907,1210,881,0
2922,1210,881,0
2938,1210,881,0
2954,1210,881,0
2969,1210,881,0
2985,1210,881,0
3000,1210,881,0
3016,1210,881,0
3032,1210,881,0
3047,1210,881,0
3063,1210,881,0
3079,1210,881,0
3094,1210,881,0
3110,1210,881,0
3125,1210,881,0
3141,1210,881,0
3157,1210,881,0
3172,1210,881,0
3188,1210,880,0
3204,1210,877,0
3219,1211,873,0
3235,1212,868,0
3250,1214,862,0
3266,1216,856,0
3282,1219,845,0
3297,1220,842,0
3313,1220,836,0
3329,1220,832,0
3344,1220,828,0
3360,1220,823,0
3375,1220,821,0
3391,1220,818,0
3407,1220,816,0
3422,1222,815,0
3438,1222,812,0
3454,1222,811,0
3469,1223,807,0
3485,1224,805,0
3500,1224,803,0
3516,1225,802,0
3532,1226,799,0
3547,1227,799,0
3563,1228,798,0
3579,1230,796,0
3594,1231,795,0
3610,1231,794,0
3625,1231,794,0
3641,1231,794,1
3657,1231,794,1
3672,1231,794,1
3688,1231,794,1
3704,1231,794,1
3719,1231,794,1
3735,1231,794,1
3750,1231,794,0
3766,1231,794,0
3782,1231,794,0
3797,1231,794,0
3813,1231,794,0
3829,1231,794,0
3844,1231,794,0
3860,1231,794,0
3875,1231,794,0
3891,1231,794,0
3907,1231,794,0
3922,1231,794,0
3938,1231,794,0
3954,1231,794,0
3969,1231,794,0
3985,1231,794,0
4000,1231,794,0
4016,1231,794,0
4032,1231,794,0
4047,1231,794,0
4063,1231,794,0
4079,1231,794,0
4094,1231,794,0
4110,1231,794,0
4125,1231,794,0
4141,1231,794,0
4157,1231,794,0
4172,1231,794,0
4188,1232,794,0
4204,1234,792,0
4219,1242,786,0
4235,1245,783,0
4250,1255,777,0
4266,1261,773,0
4282,1268,770,0
4297,1277,766,0
4313,1286,762,0
4329,1297,757,0
4344,1303,754,0
4360,1309,750,0
4375,1310,749,0
4391,1312,748,0
4407,1313,748,0
4422,1313,748,0
4438,1313,748,0
4454,1313,748,0
4469,1313,748,0
4485,1313,748,0
4500,1313,748,0
4516,1313,748,0
4532,1313,748,0
4547,1312,748,0
4563,1312,748,0
4579,1312,748,0
4594,1312,748,0
4610,1312,748,0
4625,1312,748,0
4641,1312,748,0
4657,1312,748,0
4672,1312,748,0
4688,1312,748,0
4704,1312,748,0
4719,1312,748,0
4735,1312,748,0
4750,1312,748,0
4766,1312,748,0
4782,1312,748,0
4797,1312,748,0
4813,1312,748,0
4829,1312,748,0
4844,1312,748,0
4860,1312,748,0
4875,1312,748,0
4891,1312,748,0
4907,1312,748,0
4922,1312,748,0
4938,1312,748,0
4954,1312,748,0
4969,1312,748,0
4985,1312,748,0
5000,1312,748,0
5016,1312,748,0
5032,1312,748,0
5047,1312,748,0
5063,1312,748,0
5079,1312,748,0
5094,1312,748,0
5110,1312,748,0
5125,1312,748,0
5141,1312,748,0
5157,1312,748,0
5172,1312,748,0
5188,1312,748,0
5204,1312,748,0
5219,1312,748,0
5235,1312,748,0
5250,1312,748,0
5266,1312,748,0
5282,1312,748,0
5297,1312,748,0
5313,1312,748,0
5329,1312,748,0
5344,1312,748,0
5360,1312,748,0
5375,1312,748,0
5391,1312,748,0
5407,1312,748,0
5422,1312,748,0
5438,1312,748,0
5454,1312,748,0
5469,1312,748,0
5485,1312,748,0
5500,1312,748,0
5516,1312,748,0
5532,1312,748,0
5547,1312,748,0
5563,1312,748,0
5579,1312,748,0
5594,1312,748,0
5610,1312,748,0
5625,1312,748,0
5641,1312,748,0
5657,1312,748,0
5672,1312,748,0
5688,1312,748,0
5704,1312,748,0
5719,1312,748,0
5735,1312,748,0
5750,1312,748,0
5766,1312,748,0
5782,1312,748,0
5797,1312,748,0
5813,1312,748,0
5829,1312,748,0
5844,1312,748,0
5860,1312,748,0
5875,1312,748,0
5891,1312,748,0
5907,1312,748,0
5922,1312,748,0
5938,1312,748,0
5954,1312,748,0
5969,1312,748,0
5985,1312,748,0
6000,1312,748,0
6016,1312,748,0
6032,1312,748,0
6047,1312,748,0
6063,1312,748,0
6079,1312,748,0
6094,1312,748,0
6110,1312,748,0
6125,1312,748,0
6141,1312,748,0
6157,1312,748,0
6172,1312,748,0
6188,1312,748,0
6204,1312,748,0
6219,1312,748,0
6235,1312,748,0
6250,1312,748,0
6266,1312,748,0
6282,1312,748,0
6297,1312,748,0
6313,1312,748,0
6329,1312,748,0
6344,1312,748,0
6360,1312,748,0
6375,1312,748,0
6391,1312,748,0
6407,1312,748,0
6422,1312,748,0
6438,1312,748,0
6454,1312,748,0
6469,1312,748,0
6485,1312,748,0
6500,1312,748,0
6516,1312,748,0
6532,1312,748,0
6547,1312,748,0
6563,1312,748,0
6579,1312,748,0
6594,1312,748,0
6610,1312,748,0
6625,1312,748,0
6641,1312,748,0
6657,1312,748,0
6672,1312,748,0
6688,1312,748,0
6704,1312,748,0
6719,1312,748,0
6735,1312,748,0
6750,1312,748,0
6766,1312,748,0
6782,1312,748,0
6797,1312,748,0
6813,1312,748,0
6829,1312,748,0
6844,1312,748,0
6860,1312,748,0
6875,1312,748,0
6891,1312,748,0
6907,1312,748,0
6922,1312,748,0
6938,1312,748,0
6954,1312,748,0
6969,1312,748,0
6985,1312,748,0
7000,1312,748,0
7016,1312,748,0
7032,1312,748,0
7047,1312,748,0
7063,1312,748,0
7079,1312,748,0
7094,1312,748,0
7110,1312,748,0
7125,1312,748,0
7141,1312,748,0
7157,1312,748,0
7172,1312,748,0
7188,1312,748,0
7204,1312,748,0
7219,1312,748,0
7235,1312,748,0
7250,1312,748,0
7266,1312,748,0
7282,1312,748,0
7297,1312,748,0
7313,1312,748,0
7329,1312,748,0
7344,1312,748,0
7360,1312,748,0
7375,1312,748,0
7391,1312,748,0
7407,1312,748,0
7422,1312,748,0
7438,1312,748,0
7454,1312,748,0
7469,1312,748,0
7485,1312,748,0
7500,1312,748,0
7516,1312,748,0
7532,1312,748,0
7547,1312,748,0
7563,1312,748,0
7579,1312,748,0
7594,1312,748,0
7610,1312,748,0
7625,1312,748,0
7641,1312,748,0
7657,1312,748,0
7672,1312,748,0
7688,1312,748,0
7704,1312,748,0
7719,1312,748,0
7735,1312,748,0
7750,1312,748,0
7766,1312,748,0
7782,1312,748,0
7797,1312,748,0
7813,1312,748,0
7829,1312,748,0
7844,1312,748,0
7860,1312,748,0
7875,1312,748,0
7891,1312,748,0
7907,1312,748,0
7922,1312,748,0
7938,1312,748,0
7954,1312,748,0
7969,1312,748,0
7985,1312,748,0
8000,1312,748,0
8016,1312,748,0
8032,1312,748,0
8047,1312,748,0
8063,1312,748,0
8079,1312,748,0
8094,1312,748,0
8110,1312,748,0
8125,1312,748,0
8141,1312,748,0
8157,1312,748,0
8172,1312,748,0
8188,1312,748,0
8204,1312,748,0
8219,1312,748,0
8235,1312,748,0
8250,1312,748,0
8266,1312,748,0
8282,1312,748,0
8297,1312,748,0
8313,1312,748,0
8329,1312,748,0
8344,1312,748,0
8360,1312,748,0
8375,1312,748,0
8391,1312,748,0
8407,1312,748,0
8422,1312,748,0
8438,1312,748,0
8454,1312,748,0
8469,1312,748,0
8485,1312,748,0
8500,1312,748,0
8516,1312,748,0
8532,1312,748,0
8547,1312,748,0
8563,1312,748,0
8579,1312,748,0
8594,1312,748,0
8610,1312,748,0
8625,1312,748,0
8641,1312,748,0
8657,1312,748,0
8672,1312,748,0
8688,1312,748,0
8704,1312,748,0
8719,1312,748,0
8735,1312,748,0
8750,1312,748,0
8766,1312,748,0
8782,1312,748,0
8797,1312,748,0
8813,1312,748,0
8829,1312,748,0
8844,1312,748,0
8860,1312,748,0
8875,1312,748,0
8891,1312,748,0
8907,1312,748,0
8922,1312,748,0
8938,1312,748,0
8954,1312,748,0
8969,1312,748,0
8985,1312,748,0
9000,1312,748,0
9016,1312,748,0
9032,1312,748,0
9047,1312,748,0
9063,1312,748,0
9079,1312,748,0
9094,1312,748,0
9110,1312,748,0
9125,1312,748,0
9141,1312,748,0
9157,1312,748,0
9172,1312,748,0
9188,1312,748,0
9204,1312,748,0
9219,1312,748,0
9235,1312,748,0
9250,1312,748,0
9266,1312,748,0
9282,1312,748,0
9297,1312,748,0
9313,1312,748,0
9329,1312,748,0
9344,1312,748,0
9360,1312,748,0
9375,1312,748,0
9391,1312,748,0
9407,1312,748,0
9422,1312,748,0
9438,1312,748,0
9454,1312,748,0
9469,1312,748,0
9485,1312,748,0
9500,1312,748,0
9516,1312,748,0
9532,1312,748,0
9547,1312,748,0
9563,1312,748,0
9579,1312,748,0
9594,1312,748,0
9610,1312,748,0
9625,1312,748,0
9641,1312,748,0
9657,1312,748,0
9672,1312,748,0
9688,1312,748,0
9704,1312,748,0
9719,1312,748,0
9735,1312,748,0
9750,1312,748,0
9766,1312,748,0
9782,1312,748,0
9797,1312,748,0
9813,1312,748,0
9829,1312,748,0
9844,1312,748,0
9860,1312,748,0
9875,1312,748,0
9891,1312,748,0
9907,1312,748,0
9922,1312,748,0
9938,1312,748,0
9954,1312,748,0
9969,1312,748,0
9985,1312,748,0
10000,1312,748,0
10016,1312,748,0
10032,1312,748,0
10047,1312,748,0
10063,1312,748,0
10079,1312,748,0
10094,1312,748,0
10110,1312,748,0
10125,1312,748,0
10141,1312,748,0
10157,1312,748,0
10172,1312,748,0
10188,1312,748,0
10204,1312,748,0
10219,1312,748,0
10235,1312,748,0
10250,1312,748,0
10266,1312,748,0
10282,1312,748,0
10297,1312,748,0
10313,1312,748,0
10329,1312,748,0
10344,1312,748,0
10360,1312,748,0
10375,1312,748,0
10391,1312,748,0
10407,1312,748,0
10422,1312,748,0
10438,1312,748,0
10454,1312,748,0
10469,1312,748,0
10485,1312,748,0
10500,1312,748,0
10516,1312,748,0
10532,1312,748,0
10547,1312,748,0
10563,1312,748,0
10579,1312,748,0
10594,1312,748,0
10610,1312,748,0
10625,1312,748,0
10641,1312,748,0
10657,1312,748,0
10672,1312,748,0
10688,1312,748,0
10704,1312,748,0
10719,1312,748,0
10735,1312,748,0
10750,1312,748,0
10766,1312,748,0
10782,1312,748,0
10797,1312,748,0
10813,1312,748,0
10829,1312,748,0
10844,1312,748,0
10860,1312,748,0
10875,1312,748,0
10891,1312,748,0
10907,1312,748,0
10922,1312,748,0
10938,1312,748,0
10954,1312,748,0
10969,1312,748,0
10985,1312,748,0
11000,1312,748,0
11016,1312,748,0
11032,1312,748,0
11047,1312,748,0
11063,1312,748,0
11079,1312,748,0
11094,1312,748,0
11110,1312,748,0
11125,1312,748,0
11141,1312,748,0
11157,1312,748,0
11172,1312,748,0
11188,1312,748,0
11204,1312,748,0
11219,1312,748,0
11235,1312,748,0
11250,1312,748,0
11266,1312,748,0
11282,1312,748,0
11297,1312,748,0
11313,1312,748,0
11329,1312,748,0
11344,1312,748,0
11360,1312,748,0
11375,1312,748,0
11391,1312,748,0
11407,1312,748,0
11422,1312,748,0
11438,1312,748,0
11454,1312,748,0
11469,1312,748,0
11485,1312,748,0
11500,1312,748,0
11516,1312,748,0
11532,1312,748,0
11547,1312,748,0
11563,1312,748,0
11579,1312,748,0
11594,1312,748,0
11610,1312,748,0
11625,1312,748,0
11641,1312,748,0
11657,1312,748,0
11672,1312,748,0
11688,1312,748,0
11704,1312,748,0
11719,1312,748,0
11735,1312,748,0
11750,1312,748,0
11766,1312,748,0
11782,1312,748,0
11797,1312,748,0
11813,1312,748,0
11829,1312,748,0
11844,1312,748,0
11860,1312,748,0
11875,1312,748,0
11891,1312,748,0
11907,1312,748,0
11922,1312,748,0
11938,1312,748,0
11954,1312,748,0
11969,1312,748,0
11985,1312,748,0
12000,1312,748,0
12016,1312,748,0
12032,1312,748,0
12047,1312,748,0
12063,1311,749,0
12079,1309,752,0
12094,1308,755,0
12110,1306,757,0
12125,1304,760,0
12141,1303,762,0
12157,1300,766,0
12172,1300,766,0
12188,1299,767,0
12204,1298,769,0
12219,1296,770,0
12235,1296,771,0
12250,1295,771,0
12266,1295,771,0
12282,1295,771,0
12297,1295,771,0
12313,1295,771,0
12329,1295,771,0
12344,1295,771,0
12360,1295,771,1
12375,1295,771,1
12391,1295,771,1
12407,1295,771,1
12422,1295,771,1
12438,1295,771,1
12454,1295,771,1
12469,1295,771,0
12485,1295,771,0
12500,1295,771,0
12516,1295,771,0
12532,1295,771,0
12547,1295,771,0
12563,1295,771,0
12579,1295,771,0
12594,1295,771,0
12610,1295,771,0
12625,1295,771,0
12641,1295,771,0
12657,1295,771,0
12672,1295,771,0
12688,1295,771,0
12704,1295,771,0
12719,1295,771,0
12735,1295,771,0
12750,1296,771,0
12766,1298,771,0
12782,1302,771,0
12797,1306,770,0
12813,1310,770,0
12829,1312,770,0
12844,1314,769,0
12860,1315,769,0
12875,1316,768,0
12891,1319,768,0
12907,1323,767,0
12922,1324,766,0
12938,1325,766,0
12954,1326,766,0
12969,1326,766,0
12985,1326,766,0
13000,1326,766,0
13016,1326,766,0
13032,1326,766,0
13047,1326,766,0
13063,1326,766,0
13079,1326,766,0
